"Step","lmax2_ns8_nv2 - valinf_rmsds_lt2","lmax2_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax2_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax3_ns8_nv2 - valinf_rmsds_lt2","lmax3_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax3_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1e_0o - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1e_0e - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_1o_0e - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2_odd - valinf_rmsds_lt2","lmax1_ns8_nv2_odd - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2_odd - valinf_rmsds_lt2__MAX","lmax1_ns8_nv2 - valinf_rmsds_lt2","lmax1_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax1_ns8_nv2 - valinf_rmsds_lt2__MAX","lmax0_ns8_nv2 - valinf_rmsds_lt2","lmax0_ns8_nv2 - valinf_rmsds_lt2__MIN","lmax0_ns8_nv2 - valinf_rmsds_lt2__MAX"
"5","12.195121951219512","0","24.390243902439025","8.536585365853659","0","17.073170731707318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","15.853658536585366","0","31.70731707317073","14.634146341463415","0","29.26829268292683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","9.75609756097561","0","19.51219512195122","9.75609756097561","0","19.51219512195122","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","0","0","0","0","0","0"
"20","9.75609756097561","0","19.51219512195122","13.414634146341463","0","26.829268292682926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","12.195121951219512","2.4390243902439024","21.951219512195124","12.195121951219512","2.4390243902439024","21.951219512195124","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","0","0","0","0","0","0"
"30","7.317073170731708","0","14.634146341463415","14.634146341463415","0","29.26829268292683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","10.975609756097562","0","21.951219512195124","12.195121951219512","0","24.390243902439025","0","0","0","0","0","0","0","0","0","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"40","15.853658536585366","4.878048780487805","26.829268292682926","13.414634146341465","4.878048780487805","21.951219512195124","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","0","0","0","0","0","0"
"45","15.853658536585368","9.75609756097561","21.951219512195124","14.634146341463415","4.878048780487805","24.390243902439025","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","0","0","0","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"50","8.536585365853659","0","17.073170731707318","13.414634146341465","4.878048780487805","21.951219512195124","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"55","15.853658536585366","0","31.70731707317073","18.29268292682927","4.878048780487805","31.70731707317073","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"60","13.414634146341463","0","26.829268292682926","12.195121951219512","2.4390243902439024","21.951219512195124","7.317073170731708","7.317073170731708","7.317073170731708","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"65","8.536585365853659","0","17.073170731707318","18.29268292682927","7.317073170731708","29.26829268292683","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"70","12.195121951219512","4.878048780487805","19.51219512195122","9.75609756097561","0","19.51219512195122","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"75","8.536585365853659","2.4390243902439024","14.634146341463415","13.414634146341463","9.75609756097561","17.073170731707318","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0","0","0","0","12.195121951219512","12.195121951219512","12.195121951219512","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"80","17.073170731707318","4.878048780487805","29.26829268292683","18.29268292682927","9.75609756097561","26.829268292682926","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"85","19.51219512195122","9.75609756097561","29.26829268292683","9.75609756097561","2.4390243902439024","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0","0","0","0","12.195121951219512","12.195121951219512","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"90","20.731707317073173","7.317073170731708","34.146341463414636","13.414634146341463","9.75609756097561","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"95","17.073170731707318","7.317073170731708","26.829268292682926","14.634146341463413","9.75609756097561","19.51219512195122","4.878048780487805","4.878048780487805","4.878048780487805","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0","4.878048780487805","4.878048780487805","4.878048780487805","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"100","15.853658536585366","7.317073170731708","24.390243902439025","12.195121951219512","0","24.390243902439025","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","7.317073170731708","7.317073170731708","7.317073170731708","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0","0","0","0"
