"Step","WC_lmax3_nv4_ns14 - valinf_rmsds_lt2","WC_lmax3_nv4_ns14 - valinf_rmsds_lt2__MIN","WC_lmax3_nv4_ns14 - valinf_rmsds_lt2__MAX","WC_lmax2_nv4_ns16 - valinf_rmsds_lt2","WC_lmax2_nv4_ns16 - valinf_rmsds_lt2__MIN","WC_lmax2_nv4_ns16 - valinf_rmsds_lt2__MAX","WC_lmax1_nv5_ns18 - valinf_rmsds_lt2","WC_lmax1_nv5_ns18 - valinf_rmsds_lt2__MIN","WC_lmax1_nv5_ns18 - valinf_rmsds_lt2__MAX","WC_lmax0_nv6_ns24 - valinf_rmsds_lt2","WC_lmax0_nv6_ns24 - valinf_rmsds_lt2__MIN","WC_lmax0_nv6_ns24 - valinf_rmsds_lt2__MAX"
"5","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0"
"15","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0"
"20","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","0","0","0"
"25","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0"
"35","0","0","0","0","0","0","0","0","0","0","0","0"
"40","2.4390243902439024","2.4390243902439024","2.4390243902439024","4.878048780487805","4.878048780487805","4.878048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"45","4.878048780487805","4.878048780487805","4.878048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0"
"50","0","0","0","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"55","2.4390243902439024","2.4390243902439024","2.4390243902439024","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","0","0","0"
"60","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"65","9.75609756097561","9.75609756097561","9.75609756097561","4.878048780487805","4.878048780487805","4.878048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"70","4.878048780487805","4.878048780487805","4.878048780487805","12.195121951219512","12.195121951219512","12.195121951219512","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"75","7.317073170731708","7.317073170731708","7.317073170731708","12.195121951219512","12.195121951219512","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"80","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"85","17.073170731707318","17.073170731707318","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"90","4.878048780487805","4.878048780487805","4.878048780487805","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"95","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"100","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"105","17.073170731707318","17.073170731707318","17.073170731707318","14.634146341463415","14.634146341463415","14.634146341463415","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"110","4.878048780487805","4.878048780487805","4.878048780487805","12.195121951219512","12.195121951219512","12.195121951219512","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"115","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"120","24.390243902439025","24.390243902439025","24.390243902439025","4.878048780487805","4.878048780487805","4.878048780487805","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"125","21.951219512195124","21.951219512195124","21.951219512195124","12.195121951219512","12.195121951219512","12.195121951219512","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"130","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"135","12.195121951219512","12.195121951219512","12.195121951219512","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"140","31.70731707317073","31.70731707317073","31.70731707317073","19.51219512195122","19.51219512195122","19.51219512195122","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"145","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"150","12.195121951219512","12.195121951219512","12.195121951219512","31.70731707317073","31.70731707317073","31.70731707317073","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"155","19.51219512195122","19.51219512195122","19.51219512195122","17.073170731707318","17.073170731707318","17.073170731707318","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"160","17.073170731707318","17.073170731707318","17.073170731707318","26.829268292682926","26.829268292682926","26.829268292682926","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"165","26.829268292682926","26.829268292682926","26.829268292682926","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"170","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","19.51219512195122","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"175","31.70731707317073","31.70731707317073","31.70731707317073","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"180","24.390243902439025","24.390243902439025","24.390243902439025","29.26829268292683","29.26829268292683","29.26829268292683","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"185","31.70731707317073","31.70731707317073","31.70731707317073","29.26829268292683","29.26829268292683","29.26829268292683","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"190","31.70731707317073","31.70731707317073","31.70731707317073","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"195","21.951219512195124","21.951219512195124","21.951219512195124","31.70731707317073","31.70731707317073","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"200","21.951219512195124","21.951219512195124","21.951219512195124","19.51219512195122","19.51219512195122","19.51219512195122","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"205","29.26829268292683","29.26829268292683","29.26829268292683","21.951219512195124","21.951219512195124","21.951219512195124","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"210","21.951219512195124","21.951219512195124","21.951219512195124","34.146341463414636","34.146341463414636","34.146341463414636","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"215","31.70731707317073","31.70731707317073","31.70731707317073","29.26829268292683","29.26829268292683","29.26829268292683","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"220","24.390243902439025","24.390243902439025","24.390243902439025","19.51219512195122","19.51219512195122","19.51219512195122","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"225","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"230","43.90243902439025","43.90243902439025","43.90243902439025","31.70731707317073","31.70731707317073","31.70731707317073","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"235","29.26829268292683","29.26829268292683","29.26829268292683","36.58536585365854","36.58536585365854","36.58536585365854","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"240","34.146341463414636","34.146341463414636","34.146341463414636","29.26829268292683","29.26829268292683","29.26829268292683","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"245","19.51219512195122","19.51219512195122","19.51219512195122","34.146341463414636","34.146341463414636","34.146341463414636","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"250","24.390243902439025","24.390243902439025","24.390243902439025","31.70731707317073","31.70731707317073","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"255","31.70731707317073","31.70731707317073","31.70731707317073","36.58536585365854","36.58536585365854","36.58536585365854","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"260","41.46341463414634","41.46341463414634","41.46341463414634","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"265","34.146341463414636","34.146341463414636","34.146341463414636","39.02439024390244","39.02439024390244","39.02439024390244","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"270","26.829268292682926","26.829268292682926","26.829268292682926","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"275","24.390243902439025","24.390243902439025","24.390243902439025","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"280","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
