"Step","WC_lmax3_shlmax4_nv3_ns14 - valinf_rmsds_lt2","WC_lmax3_shlmax4_nv3_ns14 - valinf_rmsds_lt2__MIN","WC_lmax3_shlmax4_nv3_ns14 - valinf_rmsds_lt2__MAX","WC_lmax2_shlmax3_nv4_ns15 - valinf_rmsds_lt2","WC_lmax2_shlmax3_nv4_ns15 - valinf_rmsds_lt2__MIN","WC_lmax2_shlmax3_nv4_ns15 - valinf_rmsds_lt2__MAX","WC_lmax1_nv5_ns18 - valinf_rmsds_lt2","WC_lmax1_nv5_ns18 - valinf_rmsds_lt2__MIN","WC_lmax1_nv5_ns18 - valinf_rmsds_lt2__MAX","WC_lmax0_nv6_ns24 - valinf_rmsds_lt2","WC_lmax0_nv6_ns24 - valinf_rmsds_lt2__MIN","WC_lmax0_nv6_ns24 - valinf_rmsds_lt2__MAX"
"5","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0"
"25","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0"
"30","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","0","0","0"
"35","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0","0","0","0","0","0","0"
"40","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"45","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0","0","0","0"
"50","2.4390243902439024","2.4390243902439024","2.4390243902439024","9.75609756097561","9.75609756097561","9.75609756097561","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"55","9.75609756097561","9.75609756097561","9.75609756097561","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0","0","0","0"
"60","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"65","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"70","21.951219512195124","21.951219512195124","21.951219512195124","9.75609756097561","9.75609756097561","9.75609756097561","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"75","7.317073170731708","7.317073170731708","7.317073170731708","14.634146341463415","14.634146341463415","14.634146341463415","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"80","7.317073170731708","7.317073170731708","7.317073170731708","4.878048780487805","4.878048780487805","4.878048780487805","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"85","7.317073170731708","7.317073170731708","7.317073170731708","17.073170731707318","17.073170731707318","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"90","14.634146341463415","14.634146341463415","14.634146341463415","19.51219512195122","19.51219512195122","19.51219512195122","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"95","14.634146341463415","14.634146341463415","14.634146341463415","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"100","17.073170731707318","17.073170731707318","17.073170731707318","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"105","21.951219512195124","21.951219512195124","21.951219512195124","26.829268292682926","26.829268292682926","26.829268292682926","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"110","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"115","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"120","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","2.4390243902439024","2.4390243902439024","2.4390243902439024","0","0","0"
"125","21.951219512195124","21.951219512195124","21.951219512195124","17.073170731707318","17.073170731707318","17.073170731707318","7.317073170731708","7.317073170731708","7.317073170731708","0","0","0"
"130","14.634146341463415","14.634146341463415","14.634146341463415","19.51219512195122","19.51219512195122","19.51219512195122","4.878048780487805","4.878048780487805","4.878048780487805","0","0","0"
"135","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"140","21.951219512195124","21.951219512195124","21.951219512195124","19.51219512195122","19.51219512195122","19.51219512195122","12.195121951219512","12.195121951219512","12.195121951219512","0","0","0"
"145","29.26829268292683","29.26829268292683","29.26829268292683","17.073170731707318","17.073170731707318","17.073170731707318","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"150","26.829268292682926","26.829268292682926","26.829268292682926","29.26829268292683","29.26829268292683","29.26829268292683","9.75609756097561","9.75609756097561","9.75609756097561","0","0","0"
"155","31.70731707317073","31.70731707317073","31.70731707317073","17.073170731707318","17.073170731707318","17.073170731707318","14.634146341463415","14.634146341463415","14.634146341463415","0","0","0"
"160","26.829268292682926","26.829268292682926","26.829268292682926","14.634146341463415","14.634146341463415","14.634146341463415","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"165","21.951219512195124","21.951219512195124","21.951219512195124","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"170","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","24.390243902439025","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"175","31.70731707317073","31.70731707317073","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"180","26.829268292682926","26.829268292682926","26.829268292682926","29.26829268292683","29.26829268292683","29.26829268292683","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"185","17.073170731707318","17.073170731707318","17.073170731707318","31.70731707317073","31.70731707317073","31.70731707317073","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"190","26.829268292682926","26.829268292682926","26.829268292682926","21.951219512195124","21.951219512195124","21.951219512195124","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"195","29.26829268292683","29.26829268292683","29.26829268292683","19.51219512195122","19.51219512195122","19.51219512195122","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"200","31.70731707317073","31.70731707317073","31.70731707317073","24.390243902439025","24.390243902439025","24.390243902439025","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"205","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"210","24.390243902439025","24.390243902439025","24.390243902439025","31.70731707317073","31.70731707317073","31.70731707317073","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"215","21.951219512195124","21.951219512195124","21.951219512195124","24.390243902439025","24.390243902439025","24.390243902439025","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"220","26.829268292682926","26.829268292682926","26.829268292682926","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","17.073170731707318","0","0","0"
"225","21.951219512195124","21.951219512195124","21.951219512195124","29.26829268292683","29.26829268292683","29.26829268292683","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"230","29.26829268292683","29.26829268292683","29.26829268292683","26.829268292682926","26.829268292682926","26.829268292682926","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"235","29.26829268292683","29.26829268292683","29.26829268292683","36.58536585365854","36.58536585365854","36.58536585365854","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"240","34.146341463414636","34.146341463414636","34.146341463414636","24.390243902439025","24.390243902439025","24.390243902439025","26.829268292682926","26.829268292682926","26.829268292682926","0","0","0"
"245","39.02439024390244","39.02439024390244","39.02439024390244","17.073170731707318","17.073170731707318","17.073170731707318","19.51219512195122","19.51219512195122","19.51219512195122","0","0","0"
"250","19.51219512195122","19.51219512195122","19.51219512195122","34.146341463414636","34.146341463414636","34.146341463414636","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"255","26.829268292682926","26.829268292682926","26.829268292682926","24.390243902439025","24.390243902439025","24.390243902439025","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"260","24.390243902439025","24.390243902439025","24.390243902439025","26.829268292682926","26.829268292682926","26.829268292682926","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"265","26.829268292682926","26.829268292682926","26.829268292682926","31.70731707317073","31.70731707317073","31.70731707317073","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"270","24.390243902439025","24.390243902439025","24.390243902439025","29.26829268292683","29.26829268292683","29.26829268292683","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"275","31.70731707317073","31.70731707317073","31.70731707317073","26.829268292682926","26.829268292682926","26.829268292682926","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"280","39.02439024390244","39.02439024390244","39.02439024390244","19.51219512195122","19.51219512195122","19.51219512195122","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"285","26.829268292682926","26.829268292682926","26.829268292682926","19.51219512195122","19.51219512195122","19.51219512195122","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"290","29.26829268292683","29.26829268292683","29.26829268292683","26.829268292682926","26.829268292682926","26.829268292682926","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"295","36.58536585365854","36.58536585365854","36.58536585365854","36.58536585365854","36.58536585365854","36.58536585365854","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"300","31.70731707317073","31.70731707317073","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","34.146341463414636","34.146341463414636","34.146341463414636","0","0","0"
"305","24.390243902439025","24.390243902439025","24.390243902439025","26.829268292682926","26.829268292682926","26.829268292682926","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"310","26.829268292682926","26.829268292682926","26.829268292682926","39.02439024390244","39.02439024390244","39.02439024390244","24.390243902439025","24.390243902439025","24.390243902439025","0","0","0"
"315","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","31.70731707317073","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"320","26.829268292682926","26.829268292682926","26.829268292682926","43.90243902439025","43.90243902439025","43.90243902439025","21.951219512195124","21.951219512195124","21.951219512195124","0","0","0"
"325","24.390243902439025","24.390243902439025","24.390243902439025","36.58536585365854","36.58536585365854","36.58536585365854","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"330","31.70731707317073","31.70731707317073","31.70731707317073","29.26829268292683","29.26829268292683","29.26829268292683","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"335","46.34146341463415","46.34146341463415","46.34146341463415","26.829268292682926","26.829268292682926","26.829268292682926","21.951219512195124","21.951219512195124","21.951219512195124","2.4390243902439024","2.4390243902439024","2.4390243902439024"
"340","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","29.26829268292683","0","0","0"
"345","31.70731707317073","31.70731707317073","31.70731707317073","24.390243902439025","24.390243902439025","24.390243902439025","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"350","36.58536585365854","36.58536585365854","36.58536585365854","34.146341463414636","34.146341463414636","34.146341463414636","31.70731707317073","31.70731707317073","31.70731707317073","0","0","0"
"355","26.829268292682926","26.829268292682926","26.829268292682926","36.58536585365854","36.58536585365854","36.58536585365854","43.90243902439025","43.90243902439025","43.90243902439025","0","0","0"
